"","country","iso2c","iso3c","year","status","lastupdated","birth","infmort","net","lifeexp","forest","mobile","pop","tour","import","export","region","capital","longitude","latitude","income","lending","lng","lat"
"11","Afghanistan","AF","AFG",1998,"","2023-09-19",50.88,95.6,NA,52.943,1.85278199408184,0,18493132,NA,5.983349443,27.8655244605,"South Asia","Kabul","69.1761","34.5228","Low income","IDA",69.1761,34.5228
"12","Afghanistan","AF","AFG",1999,"","2023-09-19",50.351,93.1,NA,54.846,1.85278199408184,0,19262847,NA,13.1078298015,29.0933750905,"South Asia","Kabul","69.1761","34.5228","Low income","IDA",69.1761,34.5228
"13","Afghanistan","AF","AFG",2002,"","2023-09-19",48.201,85.4,0.004561395,56.454,1.85278199408184,0.119046168,21000256,NA,31.7498752121,17.5007219036,"South Asia","Kabul","69.1761","34.5228","Low income","IDA",69.1761,34.5228
"14","Afghanistan","AF","AFG",2003,"","2023-09-19",47.35,82.8,0.087891253,57.344,1.85278199408184,0.883192104,22645130,NA,27.2049297707,25.201039536,"South Asia","Kabul","69.1761","34.5228","Low income","IDA",69.1761,34.5228
"15","Afghanistan","AF","AFG",2000,"","2023-09-19",49.664,90.6,NA,55.298,1.85278199408184,0,19542982,NA,15.226162829,24.0305912599,"South Asia","Kabul","69.1761","34.5228","Low income","IDA",69.1761,34.5228
"16","Afghanistan","AF","AFG",2001,"","2023-09-19",48.979,88,0.004722568,55.798,1.85278199408184,0,19688632,NA,21.9607619631,11.9004908932,"South Asia","Kabul","69.1761","34.5228","Low income","IDA",69.1761,34.5228
"17","Afghanistan","AF","AFG",2008,"","2023-09-19",41.506,69.3,1.84,59.852,1.85278199408184,29.88931593,26427199,5.7e+07,39.1028458944,94.5154487499,"South Asia","Kabul","69.1761","34.5228","Low income","IDA",69.1761,34.5228
"18","Afghanistan","AF","AFG",2010,"","2023-09-19",40.602,64.2,4,60.851,1.85278199408184,36.23965543,28189672,1.47e+08,66.7401281771,67.9875044866,"South Asia","Kabul","69.1761","34.5228","Low income","IDA",69.1761,34.5228
"19","Afghanistan","AF","AFG",2007,"","2023-09-19",43.858,72,1.9,59.111,1.85278199408184,18.02123984,25903301,NA,39.1305558207,79.453277447,"South Asia","Kabul","69.1761","34.5228","Low income","IDA",69.1761,34.5228
"20","Afghanistan","AF","AFG",2013,"","2023-09-19",39.601,57.2,5.9,62.417,1.85278199408184,53.28634042,31541209,1.79e+08,110.7673512273,90.1238176095,"South Asia","Kabul","69.1761","34.5228","Low income","IDA",69.1761,34.5228
"21","Afghanistan","AF","AFG",2011,"","2023-09-19",39.855,61.8,5,61.419,1.85278199408184,47.17359546,29249157,1.65e+08,84.3598845785,65.7766382808,"South Asia","Kabul","69.1761","34.5228","Low income","IDA",69.1761,34.5228
"22","Albania","AL","ALB",2008,"","2023-09-19",11.868,14.1,23.86,77.653,28.4494890510949,63.00230139,2947314,1.85e+09,122.0453529208,70.6868149872,"Europe & Central Asia","Tirane","19.8172","41.3317","Upper middle income","IBRD",19.8172,41.3317
"23","Albania","AL","ALB",2001,"","2023-09-19",16.12,22.9,0.325798377,75.639,28.1232481751825,12.45080244,3060173,4.51e+08,30.8430312064,16.0273116873,"Europe & Central Asia","Tirane","19.8172","41.3317","Upper middle income","IBRD",19.8172,41.3317
"24","Albania","AL","ALB",2007,"","2023-09-19",12.07,15.3,15.03611541,77.549,28.4028832116788,78.03664144,2970017,1.479e+09,97.3348066498,56.2215909697,"Europe & Central Asia","Tirane","19.8172","41.3317","Upper middle income","IBRD",19.8172,41.3317
"25","Albania","AL","ALB",1999,"","2023-09-19",17.982,25.2,0.081437045,75.183,28.1478102189781,0.343114336,3108778,2.18e+08,26.4868586536,18.2956930311,"Europe & Central Asia","Tirane","19.8172","41.3317","Upper middle income","IBRD",19.8172,41.3317
"26","Albania","AL","ALB",2000,"","2023-09-19",17.076,24.1,0.114097347,75.404,28.0766423357664,0.936229188,3089027,3.98e+08,25.3555694158,13.6424410319,"Europe & Central Asia","Tirane","19.8172","41.3317","Upper middle income","IBRD",19.8172,41.3317
"27","Albania","AL","ALB",1998,"","2023-09-19",18.803,26.4,0.06502737,74.99,28.2189781021898,0.173257946,3128530,6e+07,19.2662022322,10.6824048935,"Europe & Central Asia","Tirane","19.8172","41.3317","Upper middle income","IBRD",19.8172,41.3317
"28","Albania","AL","ALB",2003,"","2023-09-19",14.668,20.4,0.971900415,76.142,28.2164598540146,35.56428066,3039616,5.37e+08,43.3299820387,23.3713150592,"Europe & Central Asia","Tirane","19.8172","41.3317","Upper middle income","IBRD",19.8172,41.3317
"29","Albania","AL","ALB",2004,"","2023-09-19",13.978,19.1,2.420387798,76.376,28.2630656934307,41.12783099,3026939,7.56e+08,53.6705747666,31.5861014315,"Europe & Central Asia","Tirane","19.8172","41.3317","Upper middle income","IBRD",19.8172,41.3317
"30","Albania","AL","ALB",2013,"","2023-09-19",12.279,9.3,51.8,78.123,28.6985583941606,127.67458,2895092,1.67e+09,113.9491460221,121.6479613082,"Europe & Central Asia","Tirane","19.8172","41.3317","Upper middle income","IBRD",19.8172,41.3317
"31","Albania","AL","ALB",2002,"","2023-09-19",15.209,21.7,0.390081273,75.89,28.1698540145985,27.24463279,3051010,4.92e+08,34.9525841065,17.7156602852,"Europe & Central Asia","Tirane","19.8172","41.3317","Upper middle income","IBRD",19.8172,41.3317
"32","Albania","AL","ALB",2018,"","2023-09-19",10.517,8.3,65.4,79.184,28.7919708029197,94.36446759,2866376,2.306e+09,137.7252513734,149.7324460631,"Europe & Central Asia","Tirane","19.8172","41.3317","Upper middle income","IBRD",19.8172,41.3317
"33","Albania","AL","ALB",2011,"","2023-09-19",12.035,10.9,47,78.092,28.5946532846715,106.8724501,2905195,1.833e+09,125.4169295896,101.7936466331,"Europe & Central Asia","Tirane","19.8172","41.3317","Upper middle income","IBRD",19.8172,41.3317
"34","Albania","AL","ALB",2005,"","2023-09-19",13.235,17.8,6.043890864,76.621,28.3096715328467,50.45923775,3011487,8.8e+08,60.8529946825,34.3304505035,"Europe & Central Asia","Tirane","19.8172","41.3317","Upper middle income","IBRD",19.8172,41.3317
"35","Albania","AL","ALB",2006,"","2023-09-19",12.539,16.5,9.609991316,76.816,28.3562773722628,63.59103905,2992547,1.057e+09,71.0803887638,41.634801684,"Europe & Central Asia","Tirane","19.8172","41.3317","Upper middle income","IBRD",19.8172,41.3317
"36","Albania","AL","ALB",2010,"","2023-09-19",11.92,11.9,45,77.936,28.542700729927,92.41340015,2913021,1.778e+09,102.4120104843,80.5885412662,"Europe & Central Asia","Tirane","19.8172","41.3317","Upper middle income","IBRD",19.8172,41.3317
"37","Albania","AL","ALB",2014,"","2023-09-19",12.15,8.8,54.3,78.407,28.7505109489051,116.4887372,2889104,1.849e+09,121.3849161253,126.7564595182,"Europe & Central Asia","Tirane","19.8172","41.3317","Upper middle income","IBRD",19.8172,41.3317
"38","Albania","AL","ALB",2012,"","2023-09-19",12.227,10,49.4,78.064,28.6466058394161,121.0154371,2900401,1.623e+09,113.4840013467,102.6777339875,"Europe & Central Asia","Tirane","19.8172","41.3317","Upper middle income","IBRD",19.8172,41.3317
"39","Albania","AL","ALB",2009,"","2023-09-19",11.841,12.9,41.2,77.781,28.4960948905109,84.07120051,2927519,2.013e+09,105.7612496064,56.9008956253,"Europe & Central Asia","Tirane","19.8172","41.3317","Upper middle income","IBRD",19.8172,41.3317
"40","Albania","AL","ALB",2017,"","2023-09-19",10.87,8.3,62.4,79.047,28.7920620437956,125.9205273,2873457,2.05e+09,122.5107716139,119.6073702715,"Europe & Central Asia","Tirane","19.8172","41.3317","Upper middle income","IBRD",19.8172,41.3317
"41","Albania","AL","ALB",2015,"","2023-09-19",11.718,8.5,56.9,78.644,28.8024635036496,117.9871153,2880703,1.613e+09,100,100,"Europe & Central Asia","Tirane","19.8172","41.3317","Upper middle income","IBRD",19.8172,41.3317
"42","Albania","AL","ALB",2016,"","2023-09-19",11.289,8.4,59.6,78.86,28.8021897810219,116.9622462,2876101,1.821e+09,107.2351623148,102.2109223563,"Europe & Central Asia","Tirane","19.8172","41.3317","Upper middle income","IBRD",19.8172,41.3317
"43","Algeria","DZ","DZA",2015,"","2023-09-19",25.405,21.7,38.2,75.622,0.821247986241997,109.3176407,39543154,3.47e+08,100,100,"Middle East & North Africa","Algiers","3.05097","36.7397","Lower middle income","IBRD",3.05097,36.7397
"44","Algeria","DZ","DZA",2014,"","2023-09-19",25.404,22,29.5,75.11,0.818057386616507,111.7079111,38760168,3.16e+08,113.3031604158,173.2462213288,"Middle East & North Africa","Algiers","3.05097","36.7397","Lower middle income","IBRD",3.05097,36.7397
"45","Algeria","DZ","DZA",2012,"","2023-09-19",25.382,22.8,18.2,74.202,0.811675497745346,100.7169538,37260563,2.95e+08,97.4391706299,207.2977962249,"Middle East & North Africa","Algiers","3.05097","36.7397","Lower middle income","IBRD",3.05097,36.7397
"46","Algeria","DZ","DZA",2013,"","2023-09-19",25.236,22.4,22.5,74.615,0.814866442180927,103.9905106,38000626,3.26e+08,106.4330199982,187.4177916273,"Middle East & North Africa","Algiers","3.05097","36.7397","Lower middle income","IBRD",3.05097,36.7397
"47","Algeria","DZ","DZA",2004,"","2023-09-19",20.534,30.3,4.634475088,71.762,0.719893859111406,15.0181054,32510186,NA,35.1410003388,90.2965270364,"Middle East & North Africa","Algiers","3.05097","36.7397","Lower middle income","IBRD",3.05097,36.7397
"48","Algeria","DZ","DZA",2018,"","2023-09-19",24.074,20.6,49.03846808,76.066,0.810331601966797,112.4675177,41927007,196500000,89.6100924517,120.5636321868,"Middle East & North Africa","Algiers","3.05097","36.7397","Lower middle income","IBRD",3.05097,36.7397
"49","Algeria","DZ","DZA",2011,"","2023-09-19",24.815,23.3,14.9,74.123,0.808484553309765,97.46161442,36543541,3e+08,91.3833120598,211.9793469198,"Middle East & North Africa","Algiers","3.05097","36.7397","Lower middle income","IBRD",3.05097,36.7397
"50","Algeria","DZ","DZA",1998,"","2023-09-19",20.017,38,0.020238555,69.451,0.670350248137916,0.060151043,29924668,NA,18.1811148464,29.4479058517,"Middle East & North Africa","Algiers","3.05097","36.7397","Lower middle income","IBRD",3.05097,36.7397
"51","Algeria","DZ","DZA",1999,"","2023-09-19",19.68,36.8,0.199523843,70.032,0.666655470370402,0.237262911,30346083,NA,17.7207844942,36.1292160821,"Middle East & North Africa","Algiers","3.05097","36.7397","Lower middle income","IBRD",3.05097,36.7397
"52","Algeria","DZ","DZA",2016,"","2023-09-19",25.166,21.4,42.94552688,75.732,0.821247986241997,116.6140394,40339329,2.46e+08,91.0777145866,86.6101303925,"Middle East & North Africa","Algiers","3.05097","36.7397","Lower middle income","IBRD",3.05097,36.7397
"53","Algeria","DZ","DZA",2017,"","2023-09-19",24.755,21,47.69105515,75.743,0.815789794104397,111.4475314,41136546,1.71e+08,89.0855285997,101.5085958531,"Middle East & North Africa","Algiers","3.05097","36.7397","Lower middle income","IBRD",3.05097,36.7397
"54","Algeria","DZ","DZA",2001,"","2023-09-19",19.433,34.3,0.646114017,70.823,0.677193984230017,0.320502702,31200985,NA,19.2255618673,55.1892234936,"Middle East & North Africa","Algiers","3.05097","36.7397","Lower middle income","IBRD",3.05097,36.7397
"55","Algeria","DZ","DZA",2002,"","2023-09-19",19.421,32.9,1.59164126,71.23,0.691427275857146,1.423710128,31624696,NA,23.1505551017,54.225799009,"Middle East & North Africa","Algiers","3.05097","36.7397","Lower middle income","IBRD",3.05097,36.7397
"56","Algeria","DZ","DZA",2003,"","2023-09-19",19.959,31.6,2.195359731,71.287,0.705660567484276,4.51376415,32055883,NA,23.9456887484,66.8137763724,"Middle East & North Africa","Algiers","3.05097","36.7397","Lower middle income","IBRD",3.05097,36.7397
"57","Algeria","DZ","DZA",2005,"","2023-09-19",21.166,29,5.843942092,72.061,0.734127150738536,41.45244865,32956690,4.77e+08,39.3737186184,132.6941271614,"Middle East & North Africa","Algiers","3.05097","36.7397","Lower middle income","IBRD",3.05097,36.7397
"58","Algeria","DZ","DZA",2006,"","2023-09-19",21.831,27.8,7.375984956,72.334,0.748360442365665,62.80216467,33435080,3.93e+08,41.4993617239,157.5314411189,"Middle East & North Africa","Algiers","3.05097","36.7397","Lower middle income","IBRD",3.05097,36.7397
"59","Algeria","DZ","DZA",2007,"","2023-09-19",22.65,26.6,9.451190626,72.602,0.762593733992795,81.10540402,33983827,3.34e+08,53.4428068542,173.5409022567,"Middle East & North Africa","Algiers","3.05097","36.7397","Lower middle income","IBRD",3.05097,36.7397
"60","Algeria","DZ","DZA",2008,"","2023-09-19",23.413,25.6,10.18,72.941,0.776827025619925,78.19436226,34569592,4.73e+08,76.3587482036,228.7354332584,"Middle East & North Africa","Algiers","3.05097","36.7397","Lower middle income","IBRD",3.05097,36.7397
"61","Algeria","DZ","DZA",2009,"","2023-09-19",24.051,24.7,11.23,73.62,0.791060317247055,92.99292417,35196037,3.61e+08,76.0009283936,130.3047479071,"Middle East & North Africa","Algiers","3.05097","36.7397","Lower middle income","IBRD",3.05097,36.7397
"62","Algeria","DZ","DZA",2010,"","2023-09-19",24.458,23.9,12.5,73.808,0.805293608874184,91.42082361,35856344,3.24e+08,78.2813043904,164.5684377503,"Middle East & North Africa","Algiers","3.05097","36.7397","Lower middle income","IBRD",3.05097,36.7397
"63","Algeria","DZ","DZA",2000,"","2023-09-19",19.543,35.6,0.491705679,70.478,0.662960692602887,0.279451045,30774621,NA,17.7381919452,63.5493470753,"Middle East & North Africa","Algiers","3.05097","36.7397","Lower middle income","IBRD",3.05097,36.7397
"64","American Samoa","AS","ASM",2009,"","2023-09-19",NA,NA,NA,NA,87.3,NA,55366,NA,71.3656453066,127.5725593115,"East Asia & Pacific","Pago Pago","-170.691","-14.2846","Upper middle income","Not classified",-170.691,-14.2846
"65","American Samoa","AS","ASM",2002,"","2023-09-19",NA,NA,NA,NA,88.35,3.499664816,58177,NA,71.8838605698,102.4010553331,"East Asia & Pacific","Pago Pago","-170.691","-14.2846","Upper middle income","Not classified",-170.691,-14.2846
"66","American Samoa","AS","ASM",2011,"","2023-09-19",NA,NA,NA,NA,87,NA,54310,NA,51.0071883946,79.1556727945,"East Asia & Pacific","Pago Pago","-170.691","-14.2846","Upper middle income","Not classified",-170.691,-14.2846
"67","American Samoa","AS","ASM",2003,"","2023-09-19",NA,NA,NA,NA,88.2,3.624439075,57941,NA,90.4507732724,121.2401054529,"East Asia & Pacific","Pago Pago","-170.691","-14.2846","Upper middle income","Not classified",-170.691,-14.2846
"68","American Samoa","AS","ASM",2004,"","2023-09-19",NA,NA,NA,NA,88.05,3.904487558,57626,NA,87.1341955431,117.5725592933,"East Asia & Pacific","Pago Pago","-170.691","-14.2846","Upper middle income","Not classified",-170.691,-14.2846
"69","American Samoa","AS","ASM",2005,"","2023-09-19",NA,NA,NA,NA,87.9,NA,57254,NA,74.9487337255,98.6279682636,"East Asia & Pacific","Pago Pago","-170.691","-14.2846","Upper middle income","Not classified",-170.691,-14.2846
"70","American Samoa","AS","ASM",2006,"","2023-09-19",21.6,NA,NA,NA,87.75,NA,56837,NA,83.7583932744,115.699208418,"East Asia & Pacific","Pago Pago","-170.691","-14.2846","Upper middle income","Not classified",-170.691,-14.2846
"71","American Samoa","AS","ASM",1998,"","2023-09-19",NA,NA,NA,NA,88.99,2.650036217,56603,NA,73.7642416783,109.4459102417,"East Asia & Pacific","Pago Pago","-170.691","-14.2846","Upper middle income","Not classified",-170.691,-14.2846
"72","American Samoa","AS","ASM",1999,"","2023-09-19",NA,NA,NA,NA,88.82,3.125325555,57594,NA,67.012637066,91.0554089338,"East Asia & Pacific","Pago Pago","-170.691","-14.2846","Upper middle income","Not classified",-170.691,-14.2846
"73","American Samoa","AS","ASM",2000,"","2023-09-19",NA,NA,NA,NA,88.65,3.420917053,58230,NA,74.9191214183,91.3720316267,"East Asia & Pacific","Pago Pago","-170.691","-14.2846","Upper middle income","Not classified",-170.691,-14.2846
"74","American Samoa","AS","ASM",2001,"","2023-09-19",NA,NA,NA,NA,88.5,3.696591455,58324,NA,75.0671829542,83.8258574878,"East Asia & Pacific","Pago Pago","-170.691","-14.2846","Upper middle income","Not classified",-170.691,-14.2846
"75","American Samoa","AS","ASM",2008,"","2023-09-19",NA,NA,NA,NA,87.45,NA,55891,NA,84.0693223873,88.8654353199,"East Asia & Pacific","Pago Pago","-170.691","-14.2846","Upper middle income","Not classified",-170.691,-14.2846
"76","American Samoa","AS","ASM",2017,"","2023-09-19",16.6,NA,NA,NA,86.1,NA,49463,2.2e+07,88.096595339,104.6942036776,"East Asia & Pacific","Pago Pago","-170.691","-14.2846","Upper middle income","Not classified",-170.691,-14.2846
"77","American Samoa","AS","ASM",2010,"","2023-09-19",18.7,NA,NA,NA,87.15,NA,54849,NA,53.4353970734,84.4327176462,"East Asia & Pacific","Pago Pago","-170.691","-14.2846","Upper middle income","Not classified",-170.691,-14.2846
"78","American Samoa","AS","ASM",2013,"","2023-09-19",NA,NA,NA,NA,86.7,NA,52995,NA,70.9214607889,102.4912927982,"East Asia & Pacific","Pago Pago","-170.691","-14.2846","Upper middle income","Not classified",-170.691,-14.2846
"79","American Samoa","AS","ASM",2018,"","2023-09-19",NA,NA,NA,NA,85.95,NA,48424,NA,96.7350957868,99.5548812393,"East Asia & Pacific","Pago Pago","-170.691","-14.2846","Upper middle income","Not classified",-170.691,-14.2846
"80","American Samoa","AS","ASM",2014,"","2023-09-19",17.5,NA,NA,NA,86.55,NA,52217,NA,90.4655793885,91.4073878516,"East Asia & Pacific","Pago Pago","-170.691","-14.2846","Upper middle income","Not classified",-170.691,-14.2846
"81","American Samoa","AS","ASM",2012,"","2023-09-19",NA,NA,NA,NA,86.85,NA,53691,NA,58.5883816234,111.2559366442,"East Asia & Pacific","Pago Pago","-170.691","-14.2846","Upper middle income","Not classified",-170.691,-14.2846
"82","American Samoa","AS","ASM",2007,"","2023-09-19",NA,NA,NA,NA,87.6,NA,56383,NA,68.1379044989,87.2295514186,"East Asia & Pacific","Pago Pago","-170.691","-14.2846","Upper middle income","Not classified",-170.691,-14.2846
"83","American Samoa","AS","ASM",2016,"","2023-09-19",NA,NA,NA,NA,86.25,NA,50448,2.2e+07,96.9453431153,102.3746701056,"East Asia & Pacific","Pago Pago","-170.691","-14.2846","Upper middle income","Not classified",-170.691,-14.2846
"84","American Samoa","AS","ASM",2015,"","2023-09-19",NA,NA,NA,NA,86.4,NA,51368,NA,100,100,"East Asia & Pacific","Pago Pago","-170.691","-14.2846","Upper middle income","Not classified",-170.691,-14.2846
"85","Andorra","AD","AND",2010,"","2023-09-19",9.8,4.2,81,NA,34.0425531914894,91.57706344,71519,NA,119.0726892306,103.1474560402,"Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified",1.5218,42.5075
"86","Andorra","AD","AND",2005,"","2023-09-19",10.7,5.4,37.60576622,NA,34.0425531914894,80.87590509,79826,NA,139.2793535226,159.4798532896,"Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified",1.5218,42.5075
"87","Andorra","AD","AND",2000,"","2023-09-19",11.3,6.5,10.53883561,NA,34.0425531914894,35.61832431,66097,NA,78.2189269986,50.6458810204,"Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified",1.5218,42.5075
"88","Andorra","AD","AND",2011,"","2023-09-19",NA,4,81,NA,34.0425531914894,92.17208933,70567,NA,125.0386384291,127.3969264108,"Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified",1.5218,42.5075
"89","Andorra","AD","AND",2014,"","2023-09-19",NA,3.5,86.1,NA,34.0425531914894,92.48694535,71621,NA,120.274015012,106.3191628983,"Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified",1.5218,42.5075
"90","Andorra","AD","AND",2008,"","2023-09-19",10.4,4.6,70.04,NA,34.0425531914894,84.41522582,76055,NA,149.9459232666,155.4149053319,"Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified",1.5218,42.5075
"91","Andorra","AD","AND",2009,"","2023-09-19",9.9,4.4,78.53,NA,34.0425531914894,87.40318475,73852,NA,124.4527152304,112.2633573678,"Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified",1.5218,42.5075
"92","Andorra","AD","AND",2002,"","2023-09-19",11.2,6,11.26046872,NA,34.0425531914894,46.28218157,70849,NA,92.7202536338,71.2301177939,"Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified",1.5218,42.5075
"93","Andorra","AD","AND",2003,"","2023-09-19",10.3,5.8,13.54641288,NA,34.0425531914894,70.21296747,73907,NA,116.9555100004,100.7307674421,"Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified",1.5218,42.5075
"94","Andorra","AD","AND",2015,"","2023-09-19",NA,3.3,87.9,NA,34.0425531914894,99.42853957,71746,NA,100,100,"Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified",1.5218,42.5075
"95","Andorra","AD","AND",2016,"","2023-09-19",8.8,3.2,89.7,NA,34.0425531914894,104.9517508,72540,NA,104.6641878119,108.2802948354,"Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified",1.5218,42.5075
"96","Andorra","AD","AND",2007,"","2023-09-19",10.1,4.9,70.87,NA,34.0425531914894,81.23912599,78168,NA,148.8510308396,168.5395502495,"Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified",1.5218,42.5075
"97","Andorra","AD","AND",2012,"","2023-09-19",9.5,3.9,82.7,NA,34.0425531914894,89.93550386,71013,NA,109.5830451865,118.3769325296,"Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified",1.5218,42.5075
"98","Andorra","AD","AND",2018,"","2023-09-19",7.2,2.9,NA,NA,34.0425531914894,110.1329103,75013,NA,124.3973468678,144.6316802689,"Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified",1.5218,42.5075
"99","Andorra","AD","AND",1998,"","2023-09-19",11.9,7,6.886209218,NA,34.0425531914894,21.65649066,65186,NA,82.251781379,64.6454142366,"Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified",1.5218,42.5075
"100","Andorra","AD","AND",2001,"","2023-09-19",11.8,6.3,NA,NA,34.0425531914894,43.39280448,67820,NA,80.5459852091,58.5699488847,"Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified",1.5218,42.5075
"101","Andorra","AD","AND",2017,"","2023-09-19",NA,3,91.56746703,NA,34.0425531914894,108.8046481,73837,NA,114.2639368067,131.8023038764,"Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified",1.5218,42.5075
"102","Andorra","AD","AND",2004,"","2023-09-19",10.9,5.6,26.83795439,NA,34.0425531914894,75.86601328,76933,NA,136.1732507558,137.66132028,"Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified",1.5218,42.5075
"103","Andorra","AD","AND",2006,"","2023-09-19",10.6,5.1,48.936847,NA,34.0425531914894,86.01844926,80221,NA,138.1877244674,184.7780630109,"Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified",1.5218,42.5075
"104","Andorra","AD","AND",2013,"","2023-09-19",NA,3.7,84.4,NA,34.0425531914894,89.58187372,71367,NA,114.9519379736,110.5875544484,"Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified",1.5218,42.5075
"105","Andorra","AD","AND",1999,"","2023-09-19",12.6,6.8,7.635686143,NA,34.0425531914894,31.37613282,65655,NA,83.3760926484,47.6867907722,"Europe & Central Asia","Andorra la Vella","1.5218","42.5075","High income","Not classified",1.5218,42.5075
"106","Angola","AO","AGO",2003,"","2023-09-19",47.226,110.5,0.370682065,49.617,60.9957704339456,1.931104589,18124342,6.3e+07,26.482977828,28.6548406775,"Sub-Saharan Africa","Luanda","13.242","-8.81155","Lower middle income","IBRD",13.242,-8.81155
"107","Angola","AO","AGO",2006,"","2023-09-19",46.643,95.9,1.5,52.369,59.660097858346,15.15012642,20162340,9.1e+07,42.4191580605,96.0250593522,"Sub-Saharan Africa","Luanda","13.242","-8.81155","Lower middle income","IBRD",13.242,-8.81155
"108","Angola","AO","AGO",2004,"","2023-09-19",47.099,105.9,0.464814618,50.592,60.5505462420791,3.942225093,18771125,8.2e+07,28.1840742186,40.6104310053,"Sub-Saharan Africa","Luanda","13.242","-8.81155","Lower middle income","IBRD",13.242,-8.81155
"109","Angola","AO","AGO",2008,"","2023-09-19",45.889,85.4,1.9,54.633,58.769649474613,31.22582177,21691522,2.93e+08,101.3988760498,192.6215278433,"Sub-Saharan Africa","Luanda","13.242","-8.81155","Lower middle income","IBRD",13.242,-8.81155
"110","Angola","AO","AGO",2009,"","2023-09-19",45.495,80.4,2.3,55.752,58.3244252827465,36.02958262,22507674,5.54e+08,109.5075965861,123.0455373736,"Sub-Saharan Africa","Luanda","13.242","-8.81155","Lower middle income","IBRD",13.242,-8.81155
"111","Angola","AO","AGO",2018,"","2023-09-19",40.236,52,29,62.144,54.3174059517125,42.49094914,31273533,5.57e+08,76.3456262388,122.8341732852,"Sub-Saharan Africa","Luanda","13.242","-8.81155","Lower middle income","IBRD",13.242,-8.81155
